home_team,away_team,time_slot,year,week_of_season,home_users,away_users,all_users,concurrent_games,last_5_handle_all,last_5_handle_home,last_5_handle_away,all_registered,is_faux_future,handle
Earnest Eagles,Cyclic Cobras,mon_late,2019.0,17.0,0,0,0,1,11193586.4000001,619840.399999995,1910618.30000002,68946,False,658079.099999999
Fleeting Felines,Cyclic Cobras,mon_early,2018.0,17.0,262,0,262,5,9844202.40000009,708347.399999999,1456334.30000001,33830,False,29599.5
Hopeful Hens,Cyclic Cobras,mon_early,2018.0,18.0,0,0,0,4,8672309.40000005,318576.900000002,1313116.60000001,34317,False,81918.5999999999
Wonder Whales,Cyclic Cobras,mon_early,2018.0,21.0,0,0,0,3,9409104.79999996,309116.100000001,980218.100000013,35939,False,60086.3999999999
Lucky Leopards,Cyclic Cobras,tues,2019.0,23.0,50987,0,50987,1,12763111.6,1187347.49999999,748858.799999995,71847,False,664173.499999995
Lucky Leopards,Cyclic Cobras,mon_late,2018.0,23.0,36262,0,36262,1,10999540.3999999,867684.299999995,1417560.60000001,38144,False,560296.999999996
Devilish Deer ,Cyclic Cobras,mon_mid,2018.0,24.0,1022,0,1022,1,14282957.1999999,2149166.2,1810162.20000001,38948,False,443699.100000002
Earnest Eagles,Devilish Deer ,mon_late,2019.0,7.0,0,5962,5962,1,7749988.80000024,146245.400000001,682977.899999984,59707,False,724980.500000011
Intense Iguanas,Devilish Deer ,mon_mid,2018.0,7.0,0,369,369,3,2969585.00000001,551531.099999987,1407958.40000001,15812,False,145021.5
Lightning Lions,Devilish Deer ,mon_early,2020.0,8.0,0,11139,11139,5,12237935.6000002,304908.200000001,1552979.90000001,79105,False,178954.6
Snappy Snakes,Devilish Deer ,tues,2018.0,12.0,0,661,661,1,13317236.8000001,1982564.30000002,1916243.50000003,27189,False,184250.700000001
Ramblin Rabbits,Devilish Deer ,mon_mid,2018.0,12.0,695,695,1390,2,13317236.8000001,2168381.20000001,1916243.50000003,28996,False,56857.8999999999
Hopeful Hens,Devilish Deer ,mon_early,2019.0,12.0,0,8071,8071,3,16592417.8000003,582342.599999999,1978397.50000003,66152,False,173883.500000001
Terrible Ticks,Devilish Deer ,mon_late,2019.0,15.0,9597,8502,18099,1,13716633.0000001,1585938.60000003,2076828.30000003,67894,False,844619.999999996
Bellicose Bluejays,Devilish Deer ,mon_early,2018.0,19.0,267,909,1176,2,8232032.40000004,596409.799999994,1477310.10000001,34814,False,74212.3999999999
Intense Iguanas,Devilish Deer ,fri,2019.0,20.0,0,8989,8989,1,10865200.4,547425.3,1513241.50000002,69968,False,471544.3
Hungry Harpys,Devilish Deer ,mon_early,2019.0,22.0,50938,9397,60335,4,8749753.59999994,789438.099999997,941848.699999988,71770,False,210114.300000001
Ramblin Rabbits,Devilish Deer ,sun,2019.0,23.0,9453,9453,18906,1,12763111.6,711794.399999996,1151962.99999999,72048,False,418841.400000001
Ramblin Rabbits,Devious Dandys,mon_mid,2020.0,7.0,11014,0,11014,1,9670600.20000021,144572.100000001,211537.000000001,78633,False,130068.4
Cyclic Cobras,Devious Dandys,mon_early,2019.0,7.0,0,0,0,5,7749988.80000024,267872.699999997,341605.400000002,59707,False,68713.8999999999
Lucky Leopards,Devious Dandys,mon_early,2018.0,8.0,20260,0,20260,2,13592788.2000002,995760.299999996,410319.300000003,21374,False,144182.6
Snappy Snakes,Devious Dandys,mon_early,2019.0,9.0,0,0,0,3,16568068.2000002,986895.199999996,554501.900000003,62454,False,87334.8
Fleeting Felines,Devious Dandys,mon_early,2020.0,10.0,1268,0,1268,4,12780718.8000001,1122428.90000001,507687.600000002,79717,False,43371.8
Hopeful Hens,Devious Dandys,mon_early,2018.0,11.0,0,0,0,4,12500701.2000001,819876.099999995,422458.800000001,26921,False,57674.1999999999
Lightning Lions,Devious Dandys,mon_early,2019.0,11.0,0,0,0,3,13303006.0000002,836513.69999999,335950.400000001,64498,False,98352.3999999999
Fleeting Felines,Devious Dandys,mon_early,2018.0,14.0,233,0,233,2,12460688.8000001,635820.499999999,346968.000000001,30834,False,31276.7
Bellicose Bluejays,Devious Dandys,mon_early,2019.0,14.0,791,0,791,3,14898796.6000001,1112976.29999999,334626.500000001,67387,False,66457.9999999999
Cyclic Cobras,Devious Dandys,mon_early,2018.0,15.0,0,0,0,1,9957734.40000001,1915395.20000002,367314.800000001,31933,False,42925.4999999999
Hopeful Hens,Devious Dandys,mon_early,2019.0,16.0,0,0,0,3,11343326.6,1157189.20000004,338293.600000001,68341,False,83597.6999999998
Fleeting Felines,Devious Dandys,mon_early,2019.0,20.0,895,0,895,3,10865200.4,431225.600000002,343895.200000001,70241,False,112915.9
Lightning Lions,Devious Dandys,mon_early,2018.0,20.0,0,0,0,3,8723726.79999997,699565.599999992,413885.600000002,35365,False,35059.6
Wonder Whales,Earnest Eagles,mon_early,2020.0,6.0,0,0,0,4,2505291.00000001,,18148.9,78033,False,128096.5
Terrible Ticks,Earnest Eagles,tues,2019.0,7.0,6571,0,6571,1,7749988.80000024,219635.100000001,146245.400000001,57869,False,1026695.89999999
Devious Dandys,Earnest Eagles,mon_mid,2018.0,7.0,0,0,0,3,2969585.00000001,138990.700000001,2018079.50000012,15812,False,72546.2999999999
Pirate Poodles,Earnest Eagles,mon_early,2020.0,8.0,0,0,0,5,12237935.6000002,483605.500000001,2090625.80000012,79105,False,131195.1
Ramblin Rabbits,Earnest Eagles,mon_mid,2019.0,9.0,6585,0,6585,1,16568068.2000002,652167.400000002,2219048.60000013,62454,False,216579.200000001
Lightning Lions,Earnest Eagles,mon_early,2018.0,14.0,0,0,0,2,12460688.8000001,1759741.60000001,1468005.50000004,30834,False,93357.2999999999
Bellicose Bluejays,Earnest Eagles,fri,2019.0,15.0,794,0,794,1,13716633.0000001,720256.2,1185494.70000005,67593,False,367843.700000002
Lucky Leopards,Earnest Eagles,mon_mid,2019.0,18.0,49713,0,49713,1,11391412.4000001,1287514.80000001,1151426.60000001,69389,False,240633.800000001
Cyclic Cobras,Earnest Eagles,mon_early,2019.0,19.0,0,0,0,3,10272479.2000001,1349003.10000001,1298703.1,69781,False,167695.4
Hungry Harpys,Earnest Eagles,mon_early,2019.0,21.0,50504,0,50504,4,10943996.9999999,975754.699999997,1121084.40000001,70929,False,129129.7
Hungry Harpys,Earnest Eagles,mon_early,2018.0,22.0,34672,0,34672,4,9757519.79999996,827405.599999996,1218067.60000001,36523,False,48235.3
Hopeful Hens,Earnest Eagles,mon_early,2018.0,23.0,0,0,0,1,10999540.3999999,559733.3,832811.599999997,38144,False,327619.700000002
Snappy Snakes,Earnest Eagles,sun,2018.0,24.0,0,0,0,1,14282957.1999999,1461321.79999999,919797.499999992,38779,False,495563.099999997
Terrible Ticks,Fleeting Felines,fri,2020.0,1.0,11244,1092,12336,1,145677.200000001,,,76148,False,72838.5999999999
Devious Dandys,Fleeting Felines,mon_early,2019.0,6.0,0,543,543,2,1644923.2,,113973.9,57111,False,74114.1999999998
Hopeful Hens,Fleeting Felines,mon_early,2018.0,7.0,0,106,106,2,2969585.00000001,18148.9,322672.600000002,15812,False,9501.00000000001
Intense Iguanas,Fleeting Felines,mon_mid,2020.0,8.0,0,1227,1227,1,12237935.6000002,810286.299999988,502861.099999999,79105,False,106063.4
Hungry Harpys,Fleeting Felines,fri,2019.0,9.0,46664,639,47303,1,16568068.2000002,439477.7,590758.199999999,61764,False,689606.699999995
Hungry Harpys,Fleeting Felines,mon_mid,2018.0,9.0,22637,186,22823,3,12051213.9999999,1588262.5,1206250.70000001,23879,False,26494.0
Devious Dandys,Fleeting Felines,mon_mid,2018.0,10.0,0,202,202,1,12078446.4000001,546464.200000002,1098160.20000001,25539,False,33769.7
Intense Iguanas,Fleeting Felines,mon_mid,2018.0,12.0,0,223,223,2,13317236.8000001,1490815.30000007,630769.499999999,28996,False,31545.0
Lightning Lions,Fleeting Felines,mon_early,2019.0,15.0,0,807,807,3,13716633.0000001,1428209.20000002,696271.6,67894,False,117090.8
Hopeful Hens,Fleeting Felines,mon_early,2019.0,19.0,0,872,872,3,10272479.2000001,388832.800000002,388930.900000001,69781,False,73571.3999999999
Earnest Eagles,Fleeting Felines,mon_early,2018.0,20.0,0,269,269,3,8723726.79999997,1098554.80000001,437825.600000002,35365,False,22529.6
Wonder Whales,Fleeting Felines,mon_early,2019.0,21.0,0,919,919,4,10943996.9999999,334827.000000002,343264.400000001,70929,False,118870.7
Pirate Poodles,Fleeting Felines,mon_early,2019.0,22.0,0,941,941,4,8749753.59999994,1501592.5,390889.000000002,71770,False,47636.4999999999
Lightning Lions,Fleeting Felines,mon_mid,2018.0,22.0,0,283,283,4,9757519.79999996,680326.799999992,408926.000000002,36523,False,33206.5
Earnest Eagles,Hopeful Hens,fri,2020.0,2.0,0,0,0,1,361874.200000001,,,76257,False,18148.9
Snappy Snakes,Hopeful Hens,tues,2020.0,8.0,0,0,0,1,12237935.6000002,420922.300000003,118479.000000001,78732,False,238689.800000001
Lightning Lions,Hopeful Hens,mon_early,2020.0,9.0,0,0,0,4,14590179.0000002,495605.500000001,412598.699999996,79383,False,58716.9999999999
Wonder Whales,Hopeful Hens,mon_early,2019.0,9.0,0,0,0,3,16568068.2000002,451492.100000003,471315.699999997,62454,False,281327.799999999
Fleeting Felines,Hopeful Hens,mon_early,2019.0,10.0,697,0,697,3,14286050.6000001,1095564.50000001,734494.599999994,63537,False,94882.4999999999
Lightning Lions,Hopeful Hens,mon_early,2019.0,13.0,0,0,0,4,15357991.0000001,1394701.60000001,1363813.80000003,66856,False,208765.800000001
Hungry Harpys,Hopeful Hens,mon_early,2018.0,13.0,28507,0,28507,5,13768457.6000001,668075.999999995,1513862.60000003,29984,False,45064.5999999999
Earnest Eagles,Hopeful Hens,mon_early,2018.0,16.0,0,0,0,3,9420223.20000005,1518151.20000004,1182716.90000004,32798,False,32146.5
Lightning Lions,Hopeful Hens,mon_early,2018.0,17.0,0,0,0,5,9844202.40000009,801551.199999996,1154267.30000003,33830,False,45528.1999999999
Pirate Poodles,Hopeful Hens,mon_early,2019.0,17.0,0,0,0,3,11193586.4000001,534751.400000001,415102.8,68946,False,112239.9
Fleeting Felines,Hopeful Hens,mon_early,2018.0,19.0,267,0,267,2,8232032.40000004,387074.000000001,355430.900000002,34814,False,33401.9
Lucky Leopards,Hopeful Hens,mon_early,2019.0,20.0,50151,0,50151,3,10865200.4,1228728.70000001,430257.700000003,70241,False,191268.400000001
Devious Dandys,Hopeful Hens,mon_mid,2018.0,22.0,0,0,0,4,9757519.79999996,344974.200000001,537928.4,36523,False,61862.2
Devious Dandys,Hopeful Hens,mon_early,2019.0,23.0,0,0,0,4,12763111.6,364918.200000001,805434.399999993,72165,False,102969.2
Lucky Leopards,Hungry Harpys,mon_early,2019.0,8.0,46318,46318,92636,3,13769351.2000002,1009285.09999999,171975.100000002,61022,False,186148.499999999
Wonder Whales,Hungry Harpys,mon_early,2020.0,8.0,0,54903,54903,5,12237935.6000002,485335.800000003,358123.6,79105,False,81354.0999999999
Earnest Eagles,Hungry Harpys,mon_early,2018.0,10.0,0,24221,24221,2,12078446.4000001,939661.799999996,1573439.2,25539,False,35187.2
Earnest Eagles,Hungry Harpys,mon_late,2020.0,10.0,0,55179,55179,1,12780718.8000001,683951.400000003,1477968.6,79717,False,375868.100000001
Lightning Lions,Hungry Harpys,mon_early,2018.0,11.0,0,25554,25554,4,12500701.2000001,1375605.90000001,1667688.2,26921,False,28426.2
Earnest Eagles,Hungry Harpys,mon_early,2019.0,12.0,0,48187,48187,3,16592417.8000003,1403693.70000004,1614760.3,66152,False,154398.1
Wonder Whales,Hungry Harpys,mon_early,2019.0,13.0,0,48514,48514,4,15357991.0000001,640181.9,686646.599999995,66856,False,532576.399999999
Lucky Leopards,Hungry Harpys,mon_mid,2018.0,15.0,30309,30309,60618,3,9957734.40000001,860447.0,1200766.4,31933,False,126602.7
Terrible Ticks,Hungry Harpys,mon_mid,2019.0,16.0,9707,49189,58896,1,11343326.6,1445818.30000001,1298942.9,68341,False,205142.7
Bellicose Bluejays,Hungry Harpys,mon_early,2018.0,18.0,263,32575,32838,4,8672309.40000005,648321.099999994,1474131.9,34317,False,14546.7
Ramblin Rabbits,Hungry Harpys,mon_mid,2019.0,20.0,9045,50151,59196,1,10865200.4,945529.899999994,1052760.1,70241,False,315593.3
Devious Dandys,Hungry Harpys,mon_early,2018.0,21.0,0,34115,34115,3,9409104.79999996,407338.400000002,978281.699999997,35939,False,16299.1
Cyclic Cobras,Hungry Harpys,mon_early,2019.0,23.0,0,51151,51151,4,12763111.6,748858.799999995,861094.199999996,72165,False,86446.9
Hopeful Hens,Hungry Harpys,sun,2019.0,25.0,0,51921,51921,1,18617037.6000002,875001.699999993,1220558.70000002,73480,False,759615.599999987
Devilish Deer ,Hungry Harpys,mon_mid,2019.0,26.0,9878,52168,62046,1,20079433.8000004,3239439.20000005,1851044.60000005,73918,False,1078172.89999998
Devilish Deer ,Intense Iguanas,fri,2020.0,7.0,10934,0,10934,1,9670600.20000021,244903.699999997,113456.900000001,78311,False,438074.200000002
Devilish Deer ,Intense Iguanas,mon_early,2019.0,8.0,6259,0,6259,3,13769351.2000002,1731934.50000001,696552.599999987,61022,False,113733.700000001
Devious Dandys,Intense Iguanas,mon_early,2020.0,9.0,0,0,0,4,14590179.0000002,567722.500000003,916349.699999989,79383,False,43618.2
Cyclic Cobras,Intense Iguanas,mon_early,2020.0,10.0,0,0,0,4,12780718.8000001,762255.19999999,1833312.60000006,79717,False,84233.5999999998
Earnest Eagles,Intense Iguanas,mon_early,2019.0,11.0,0,0,0,3,13303006.0000002,771107.599999995,1479472.00000007,64498,False,156364.800000001
Ramblin Rabbits,Intense Iguanas,mon_mid,2018.0,13.0,718,0,718,1,13768457.6000001,2008659.90000001,1408626.60000007,29984,False,58914.7999999999
Bellicose Bluejays,Intense Iguanas,mon_mid,2018.0,15.0,238,0,238,3,9957734.40000001,1033758.29999999,587192.8,31933,False,46373.6
Snappy Snakes,Intense Iguanas,mon_early,2018.0,17.0,0,0,0,5,9844202.40000009,724198.199999996,1140500.50000001,33830,False,82335.5999999999
Ramblin Rabbits,Intense Iguanas,mon_mid,2019.0,17.0,8762,0,8762,1,11193586.4000001,1397769.90000003,1163921.30000001,68946,False,245161.400000001
Hungry Harpys,Intense Iguanas,mon_early,2019.0,18.0,49713,0,49713,2,11391412.4000001,1443614.0,1196778.40000001,69389,False,141722.5
Devious Dandys,Intense Iguanas,mon_early,2019.0,21.0,0,0,0,4,10943996.9999999,340039.800000001,940515.699999989,70929,False,67383.3999999999
Devilish Deer ,Intense Iguanas,mon_mid,2018.0,22.0,965,0,965,4,9757519.79999996,1418702.89999998,762737.699999991,36523,False,26812.9
Terrible Ticks,Intense Iguanas,mon_late,2019.0,23.0,10580,0,10580,1,12763111.6,668914.299999989,711159.09999999,72165,False,620178.399999996
Snappy Snakes,Lightning Lions,sun,2020.0,2.0,0,0,0,1,361874.200000001,,,76313,False,78966.4
Devious Dandys,Lightning Lions,mon_early,2020.0,6.0,0,0,0,4,2505291.00000001,74114.2000000007,78966.4,78033,False,64876.5
Fleeting Felines,Lightning Lions,mon_early,2020.0,7.0,1202,0,1202,4,9670600.20000021,259335.000000001,143842.9,78633,False,70236.1999999999
Hopeful Hens,Lightning Lions,mon_early,2019.0,8.0,0,0,0,3,13769351.2000002,27649.9,214079.100000001,61022,False,90829.1000000006
Bellicose Bluejays,Lightning Lions,mon_early,2019.0,9.0,669,0,669,3,16568068.2000002,1289603.39999999,520230.300000001,62454,False,54341.5999999999
Cyclic Cobras,Lightning Lions,mon_late,2018.0,10.0,0,0,0,1,12078446.4000001,834502.99999999,489446.000000001,25539,False,83243.2999999999
Ramblin Rabbits,Lightning Lions,fri,2020.0,10.0,11222,0,11222,1,12780718.8000001,734162.100000001,502453.100000001,79487,False,424889.700000001
Earnest Eagles,Lightning Lions,tues,2019.0,11.0,0,0,0,1,13303006.0000002,771107.599999995,836513.69999999,63645,False,619694.399999995
Snappy Snakes,Lightning Lions,mon_early,2019.0,16.0,0,0,0,3,11343326.6,1250904.59999999,798826.999999996,68341,False,84102.7999999999
Devious Dandys,Lightning Lions,mon_early,2019.0,18.0,0,0,0,2,11391412.4000001,338955.200000002,638313.599999997,69389,False,71398.0
Devious Dandys,Lightning Lions,mon_early,2018.0,18.0,0,0,0,4,8672309.40000005,328313.700000001,411477.100000002,34317,False,41918.1999999999
Terrible Ticks,Lightning Lions,mon_mid,2018.0,19.0,583,0,583,1,8232032.40000004,1249017.00000002,360038.000000001,34814,False,47919.2
Lucky Leopards,Lightning Lions,mon_early,2018.0,21.0,34115,0,34115,3,9409104.79999996,882586.099999993,650522.399999991,35939,False,75332.5999999999
Snappy Snakes,Lightning Lions,sun,2018.0,23.0,0,0,0,1,10999540.3999999,1183199.10000001,689502.099999992,37732,False,392510.2
Fleeting Felines,Lightning Lions,mon_early,2019.0,23.0,959,0,959,4,12763111.6,408730.600000002,1034093.09999998,72165,False,79949.3999999998
Fleeting Felines,Lucky Leopards,sun,2020.0,3.0,1105,53542,54647,3,471500.4,95807.6000000003,,76447,False,18166.3
Hungry Harpys,Lucky Leopards,mon_early,2020.0,6.0,54410,54410,108820,4,2505291.00000001,41317.3,18166.3,78033,False,130657.8
Snappy Snakes,Lucky Leopards,mon_early,2019.0,6.0,0,44855,44855,2,1644923.2,88954.0,148824.100000002,57111,False,124671.1
Cyclic Cobras,Lucky Leopards,fri,2020.0,8.0,0,54813,54813,1,12237935.6000002,407105.599999998,658777.000000004,78883,False,355149.600000002
Hopeful Hens,Lucky Leopards,fri,2018.0,9.0,0,21545,21545,2,12051213.9999999,409377.199999996,1088444.19999999,22736,False,3221.5
Snappy Snakes,Lucky Leopards,mon_early,2020.0,10.0,0,55179,55179,4,12780718.8000001,1665687.80000002,946197.39999999,79717,False,143376.2
Hopeful Hens,Lucky Leopards,mon_early,2018.0,12.0,0,27553,27553,3,13317236.8000001,786721.199999994,747404.999999998,28996,False,86519.5999999998
Earnest Eagles,Lucky Leopards,mon_early,2018.0,13.0,0,28507,28507,5,13768457.6000001,1558091.80000004,647776.100000001,29984,False,126492.9
Cyclic Cobras,Lucky Leopards,mon_early,2019.0,13.0,0,48514,48514,4,15357991.0000001,1616549.70000003,690851.300000001,66856,False,172817.200000001
Intense Iguanas,Lucky Leopards,mon_late,2019.0,16.0,0,49189,49189,1,11343326.6,549332.799999999,843673.500000001,68341,False,744701.999999997
Fleeting Felines,Lucky Leopards,mon_early,2018.0,16.0,250,31127,31377,3,9420223.20000005,718479.899999999,1383259.60000002,32798,False,71246.0999999998
Hungry Harpys,Lucky Leopards,mon_early,2019.0,17.0,49495,49495,98990,3,11193586.4000001,1349687.5,1241860.90000002,68946,False,172146.800000001
Devilish Deer ,Lucky Leopards,mon_mid,2019.0,21.0,9182,50504,59686,2,10943996.9999999,1140165.79999999,675295.099999996,70929,False,278537.100000001
Cyclic Cobras,Lucky Leopards,mon_early,2018.0,22.0,0,34672,34672,4,9757519.79999996,696545.899999995,957918.699999994,36523,False,81912.4
Earnest Eagles,Lucky Leopards,mon_early,2019.0,23.0,0,51151,51151,4,12763111.6,1266302.90000001,1187347.49999999,72165,False,224587.800000001
Devilish Deer ,Lucky Leopards,mon_late,2019.0,24.0,9697,51724,61421,1,15890945.4,1480062.39999998,2076108.80000003,73138,False,743316.199999993
Terrible Ticks,Pirate Poodles,odd_days,2020.0,4.0,11294,0,11294,1,508832.8,87512.0000000003,,76576,False,18666.2
Bellicose Bluejays,Pirate Poodles,mon_early,2020.0,6.0,1171,0,1171,4,2505291.00000001,55990.7,18666.2,78033,False,65934.7999999999
Lucky Leopards,Pirate Poodles,mon_early,2020.0,7.0,54699,0,54699,4,9670600.20000021,484699.500000005,167639.900000001,78633,False,174077.500000001
Wonder Whales,Pirate Poodles,mon_early,2019.0,7.0,0,0,0,5,7749988.80000024,198615.500000002,341717.4,59707,False,141888.1
Devious Dandys,Pirate Poodles,mon_early,2019.0,10.0,0,0,0,3,14286050.6000001,420991.000000001,591837.000000002,63537,False,70181.6999999999
Snappy Snakes,Pirate Poodles,mon_early,2018.0,13.0,0,0,0,5,13768457.6000001,2155565.40000002,334836.700000001,29984,False,48609.2
Intense Iguanas,Pirate Poodles,mon_mid,2019.0,13.0,0,0,0,1,15357991.0000001,1361478.00000007,321808.500000001,66856,False,196952.2
Devious Dandys,Pirate Poodles,mon_early,2018.0,16.0,0,0,0,3,9420223.20000005,366868.500000001,560613.200000001,32798,False,41606.8
Intense Iguanas,Pirate Poodles,mon_mid,2018.0,18.0,0,0,0,1,8672309.40000005,1212130.50000001,543289.800000001,34317,False,43830.3
Snappy Snakes,Pirate Poodles,tues,2019.0,19.0,0,0,0,1,10272479.2000001,546197.900000003,538510.900000001,69455,False,743782.199999991
Lightning Lions,Pirate Poodles,sun,2019.0,20.0,0,0,0,1,10865200.4,290866.400000001,1085340.90000001,70136,False,408699.200000002
Bellicose Bluejays,Pirate Poodles,mon_early,2018.0,20.0,269,0,269,3,8723726.79999997,302778.500000001,1494040.1,35365,False,45431.7
Bellicose Bluejays,Pirate Poodles,mon_mid,2019.0,23.0,959,0,959,2,12763111.6,377945.100000002,1505398.7,72165,False,158367.9
Snappy Snakes,Pirate Poodles,sun,2019.0,24.0,0,0,0,2,15890945.4,831927.099999991,919984.399999991,72943,False,629394.699999995
Snappy Snakes,Ramblin Rabbits,sun,2020.0,3.0,0,10522,10522,3,471500.4,78966.4,,76447,False,9987.6
Fleeting Felines,Ramblin Rabbits,mon_early,2019.0,7.0,581,5962,6543,5,7749988.80000024,188088.100000001,9987.6,59707,False,134584.5
Lucky Leopards,Ramblin Rabbits,mon_early,2018.0,7.0,15017,369,15386,2,2969585.00000001,273495.200000003,274640.500000002,15812,False,65735.9999999999
Terrible Ticks,Ramblin Rabbits,mon_mid,2020.0,9.0,11903,11199,23102,1,14590179.0000002,1821361.10000007,448841.200000003,79383,False,213313.8
Lucky Leopards,Ramblin Rabbits,mon_early,2019.0,10.0,47375,6857,54232,3,14286050.6000001,915496.099999992,1028983.39999999,63537,False,205115.900000001
Pirate Poodles,Ramblin Rabbits,mon_early,2018.0,11.0,0,651,651,4,12500701.2000001,578979.800000002,1237484.39999999,26921,False,31847.5
Cyclic Cobras,Ramblin Rabbits,fri,2019.0,12.0,0,7994,7994,1,16592417.8000003,588420.200000001,1269331.89999999,65820,False,1112363.1
Terrible Ticks,Ramblin Rabbits,mon_mid,2018.0,15.0,553,833,1386,3,9957734.40000001,1572465.90000003,1642685.00000003,31933,False,59804.2999999999
Devilish Deer ,Ramblin Rabbits,mon_late,2019.0,18.0,8873,8873,17746,1,11391412.4000001,2111547.10000002,1611083.80000003,69389,False,503667.099999999
Terrible Ticks,Ramblin Rabbits,mon_mid,2019.0,21.0,10324,9182,19506,2,10943996.9999999,392511.900000001,1218722.59999999,70929,False,151667.3
Intense Iguanas,Ramblin Rabbits,mon_mid,2018.0,21.0,0,944,944,1,9409104.79999996,984594.099999989,1292407.59999999,35939,False,38257.2
Intense Iguanas,Ramblin Rabbits,mon_mid,2019.0,22.0,0,9397,9397,1,8749753.59999994,745720.29999999,1085503.39999999,71770,False,107161.3
Bellicose Bluejays,Snappy Snakes,mon_mid,2018.0,7.0,106,0,106,3,2969585.00000001,364820.900000002,213625.100000002,15812,False,47440.7
Bellicose Bluejays,Snappy Snakes,mon_early,2019.0,7.0,581,0,581,5,7749988.80000024,204964.400000001,261065.800000002,59707,False,159856.5
Bellicose Bluejays,Snappy Snakes,mon_early,2020.0,8.0,1227,0,1227,5,12237935.6000002,784277.700000001,420922.300000003,79105,False,158718.9
Terrible Ticks,Snappy Snakes,mon_mid,2018.0,9.0,466,0,466,3,12051213.9999999,1725982.20000007,818330.999999994,23879,False,114045.1
Earnest Eagles,Snappy Snakes,mon_early,2020.0,9.0,0,0,0,4,14590179.0000002,2221820.90000013,853409.699999995,79383,False,143473.1
Devilish Deer ,Snappy Snakes,mon_late,2019.0,10.0,6857,0,6857,1,14286050.6000001,1209021.90000003,949558.899999995,63537,False,763569.599999989
Hopeful Hens,Snappy Snakes,tues,2019.0,12.0,0,0,0,1,16592417.8000003,582342.599999999,1515228.20000003,64637,False,610809.199999995
